Trust_Name,Staff_Group,UK_Staff_FTE,Overseas_Staff_FTE,Vacancies_FTE
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",Nurses & Midwives,1653.2,732.0,24.7
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",Support Staff,3683.8,745.2,50.1
Dartford and Gravesham NHS Trust,Doctors,405.8,240.9,6.2
Dartford and Gravesham NHS Trust,Nurses & Midwives,1003.1,444.2,15.0
Dartford and Gravesham NHS Trust,Support Staff,1773.0,358.6,24.1
Derbyshire Community Health Services NHS Foundation Trust,Doctors,11.8,7.0,0.2
Derbyshire Community Health Services NHS Foundation Trust,Nurses & Midwives,848.1,375.5,12.7
Derbyshire Community Health Services NHS Foundation Trust,Support Staff,1904.2,385.2,25.9
Derbyshire Healthcare NHS Foundation Trust,Doctors,107.5,63.8,1.6
Derbyshire Healthcare NHS Foundation Trust,Nurses & Midwives,779.1,344.9,11.6
Derbyshire Healthcare NHS Foundation Trust,Support Staff,1434.7,290.2,19.5
Devon Partnership NHS Trust,Doctors,108.7,64.6,1.6
Devon Partnership NHS Trust,Nurses & Midwives,605.6,268.1,9.0
Devon Partnership NHS Trust,Support Staff,2117.5,428.3,28.8
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doctors,486.6,288.9,7.4
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Nurses & Midwives,1283.8,568.4,19.2
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Support Staff,3095.1,626.1,42.1
Dorset County Hospital NHS Foundation Trust,Doctors,268.6,159.5,4.1
Dorset County Hospital NHS Foundation Trust,Nurses & Midwives,658.9,291.7,9.8
Dorset County Hospital NHS Foundation Trust,Support Staff,1569.3,317.4,21.3
Dorset Healthcare University NHS Foundation Trust,Doctors,85.0,50.5,1.3
Dorset Healthcare University NHS Foundation Trust,Nurses & Midwives,1079.7,478.0,16.1
